format,HeartData,HttpResponse,ImageDescriptor,LocationData,Person,SensorValue,SmartLightController
Avro,-75.06,-85.84,-37.53,-55.5,-8.29,-74.05,-75.56
BSON,446.21,34.11,654.09,1187.5,333.58,403.51,371.85
CBOR,29.34,-68.1,103.14,137.0,16.47,51.62,178.52
CSV,234.72,-38.05,102.73,167.5,138.04,401.35,242.22
CSV (with header),78.24,-67.73,-52.41,8.5,-78.53,239.19,10.37
Cap'n Proto (packed),-70.9,-76.23,-52.62,-44.0,-1.28,-36.49,-6.67
Cap'n Proto (unpacked),-95.6,-97.04,-94.97,-90.5,-97.34,-94.05,-74.81
EXI,408.07,181.4,525.58,701.0,836.77,976.49,1225.19
FlatBuffers,-99.02,-99.26,-99.16,-98.0,-97.87,-94.59,-97.78
FlexBuffers,-98.53,-98.77,-91.19,-97.0,-91.92,-86.49,-71.85
Hessian,313.94,28.08,376.31,310.5,22.64,83.24,218.52
INI,4047.19,-30.54,59.33,13543.5,168.65,72.43,222.22
Ion,17.6,37.56,338.16,86.5,469.18,497.3,921.48
Ion Binary,275.06,53.45,132.7,403.0,675.88,260.27,334.81
Java Serialization,105.38,-54.43,221.59,249.0,331.03,59.73,211.85
MessagePack,5.13,-73.15,98.74,116.0,150.05,219.19,71.85
Protobuf,34.96,-71.8,17.61,-24.0,3.93,70.81,5.93
RDF,1626.65,2164.29,3308.81,2901.0,2684.7,2398.65,5525.93
RDF Turtle,708.07,509.73,727.25,1071.5,1439.96,528.11,1124.44
Smile,-20.05,-70.44,48.22,13.0,67.69,129.19,57.04
TLV,-98.78,-99.38,-92.24,-96.5,-93.3,-89.46,-77.04
TOML,15.89,-21.55,1.68,-3.0,28.91,-28.38,-5.93
Thrift,145.23,-48.77,-51.57,289.5,-72.69,-36.49,36.3
UBJSON,51.83,-44.7,-42.35,-10.5,-18.38,-31.08,-13.33
XDR,-67.24,-84.36,-68.76,-47.0,0.96,-79.46,-76.3
XML,-34.23,-77.83,22.01,58.0,222.1,62.97,77.04
YAML,311.0,466.26,381.76,280.5,869.5,138.38,271.11
